,text
99,models should feel grateful that Stray Kids chose the music. https://t.co/F8C0zszBca
100,reminder that our goal for blackpink’s pink venom music video is 200M views for first week. we have less than 1 day until first week ends and we’re at 187.7M views rn. let’s push to reach our goal so please don’t forget youtube as well 🙏
101,"remember when ateez got 6 music show wins, 3 double crowns and were the fastest 4th gen group to get a win and tied with another group overall ?"
102,MAJO 🔥🔥🔥🔥😤😤😤😤https://t.co/4yHrKthEx5
103,"Manifesting #WYAT by @SB19Official on the Billboard Music charts ✨

#SB19 #WhereYouAtSB19 📼"
104,"Please I’m not the biggest artiste in Nigeria or Africa so please I need your support, no matter how small 🙏🏽 Stream , share , listen , gossip , dance etc 
please do anything to push this project far and beyond ❤️

https://t.co/y3KrVJGkEG"
105,K-GLOBAL MUSIC VIDEO WINNER #GOLDENCHILD https://t.co/jLTJ5YXDH2
106,"Manifesting #WYAT by @SB19Official on the Billboard Music charts ✨

#SB19 #WhereYouAtSB19 📼"
107,"HIGH QUALITY MUSIC VIDEO FOR WYAT BY SB19 PLEASE  🙏

@SB19Official #WYAT 
#SB19 #WhereYouAtSB19 📼"
108,"In a new interview, @BTS_twt's RM talks the serendipitous origins of his love of art and finding inspiration in his own collection of mostly Korean artists. ✨ https://t.co/Cwgw6P4CqI"
109,"New PreGame Out Now! Tune in and laugh with the team. News, Music, Sports, Entertainment. All in one.
 #blessthebottle 🔥🔥🔥🔥🔥🔥🔥 https://t.co/bcPuUb9DDw"
110,"🏆 | @IveStarship wins so far:

— 1 Hanteo Music Awards
— 1 Mubeat Awards
— 23 Music Show Wins
— Heart Dreams Awards 

TOTAL: 26 Trophys

IVE FIRST BONSANG 
#IVE_1st_Bonsang #아이브
#IVExHDA2022_Bonsang

 https://t.co/GyO6wqDWxg"
111,"In a new interview, @BTS_twt's RM talks the serendipitous origins of his love of art and finding inspiration in his own collection of mostly Korean artists. ✨ https://t.co/Cwgw6P4CqI"
112,"New music out. Add up to your playlist #VeanaGetDown

https://t.co/j9PKqKHnhI"
113,reminder that our goal for blackpink’s pink venom music video is 200M views for first week. we have less than 1 day until first week ends and we’re at 187.7M views rn. let’s push to reach our goal so please don’t forget youtube as well 🙏
114,THE FACT THAT THEY CHOSE TO RELEASE THE AUDIO AND MUSIC VIDEO FOR #WYAT AT THAT TIME ONLY SHOWS THAT THEY ARE AIMING FOR INTERNATIONAL AUDIENCE AS WELL. THEY WANT THIS THIS AS MUCH AS WE DO!!! SB19 WORLD DOMINATION!! @SB19Official #SB19
115,ppl who likes music‚ moons‚ books and sunsets🌴☘️🥦📗♻️🌵🍏🌱
116,"Dreamcatcher won ""Best Music Video Award"" at the 2022 K Global Heart Dream Awards 😱

Congratulations Queens! 🥳

Note: This is Dreamcatcher's 1st award show attendence! 🥹 

Dreamcatcher At Heart Dream Awards
#드림캐쳐_2022HDA #2022HDA
#Deukae_HeartDreamAwards
@hf_dreamcatcher https://t.co/0nEJxS3Tvf"
117,THE FACT THAT THEY CHOSE TO RELEASE THE AUDIO AND MUSIC VIDEO FOR #WYAT AT THAT TIME ONLY SHOWS THAT THEY ARE AIMING FOR INTERNATIONAL AUDIENCE AS WELL. THEY WANT THIS THIS AS MUCH AS WE DO!!! SB19 WORLD DOMINATION!! @SB19Official #SB19
